ID,Type,Name,Address,Grade,District,AGA Division,PS/MC/UC
983,Travel Agents,RELAX LANKA TOURS,"923/C/1-1, CHILAW ROAD, DALUWAKOTUWA, NEGAMBO",Not Graded,Gampaha,Ja-Ela Pradeshiya Sabha,Ja-Ela Divisional Secretariat
984,Travel Agents,LAKSKY TRAVELS (PVT)LTD,"1A , 1ST FLOOR, JAYANTHIPURA MAIN ROAD, BATTARAMULLA",Not Graded,Colombo,Kaduwela Pradeshiya Sabha,kaduwela Divisional Secretariat
985,Travel Agents,MEERA TRAVEL AND TOURS (PVT) LTD,"NO:76A, NEW TOWN ,DIGANA,RAJAWELLA,KANDY",Not Graded,Kandy,Kandy,Kandy Divisional Secretariat
986,Travel Agents,CEYLON 4 YOU (PVT) LTD,"NO 20/25, FIFE ROAD, COLOMBO - 05",Not Graded,Colombo,Colombo,Colombo Divisional Secretariat
987,Travel Agents,FRONTIER DESTINATIONS (PVT)LTD,"NO 14, 16TH LANE, COLOMBO-03",Not Graded,Colombo,Colombo,Colombo Divisional Secretariat
988,Travel Agents,BOAZ TOURS (PVT)LTD,"NO.316, GALLE ROAD, COLOMBO 03",Not Graded,Colombo,Colombo,Colombo Divisional Secretariat
989,Travel Agents,SRILANKA TRAVELS & TOURS,"NO: 395A, GALLE ROAD, HIKKADUWA",Not Graded,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat
990,Travel Agents,GABO TRAVELS (PVT) LTD,"NO:11,BAGATALLE ROAD,COLOMBO 03",Not Graded,Colombo,Colombo,Colombo Divisional Secretariat
991,Travel Agents,CRYSTAL HOLIDAYS (PVT)LTD,"25 A, DE SARAM ROAD ,OFF COLLEGE AVENUE ,MOUNT LAVINIA",Not Graded,Colombo,Dehiwala-Mount Lavinia,Mount Lavinia
992,Travel Agents,SHUMS & SONS TRAVELS (PVT) LTD,"NO 33 A, QUEENS ROAD,COLOMBO 03",Not Graded,Colombo,Colombo,Colombo Divisional Secretariat
993,Travel Agents,ASIAN EXOTICA (PVT) LTD,"BOC MERCHANT TOWER, NO:28, ST.MICHAEL'S ROAD, COLOMBO 03",Not Graded,Colombo,Colombo,Colombo Divisional Secretariat
994,Travel Agents,CAREEM LANKA TRAVELS & TOURS (PVT) LTD,"NO.95,CHATHAM STREET, COLOMBO 01",Not Graded,Colombo,Colombo,Colombo Divisional Secretariat
995,Travel Agents,XIN HOLIDAYS (PVT) LTD,"NO:43/5,SENANAYAKA MAWATHA,NAWALA",Not Graded,Colombo,Colombo,Colombo Divisional Secretariat
996,Travel Agents,PEOPLE'S TRAVELS (PVT)LTD,"NO.59, D.R.WIJEWARDANA MAWATHA,COLOMBO 10",Not Graded,Colombo,Colombo,Colombo Divisional Secretariat
